"epsilon","n_sig","jaccard","precision","recall","f1"
0.1,4897,0.0113835376532399,0.0132734327139065,0.0740318906605923,0.0225108225108225
0.5,4515,0.00973600449354054,0.0115171650055371,0.0592255125284738,0.0192842573706657
1,4399,0.00571755288736421,0.00681973175721755,0.0341685649202733,0.0113700966458215
2,3665,0.0062015503875969,0.00763983628922237,0.0318906605922551,0.012326656394453
5,2236,0.0103828682673589,0.0143112701252236,0.0364464692482916,0.0205523442517662
10,922,0.0262257696693273,0.0498915401301518,0.0523917995444191,0.0511111111111111
Inf,878,1,1,1,1
